year,fac_no,name,beg_date,end_date,county_name,type_centrl,patient_days,tot_hc_rev,tot_hc_exp,nonhc_net,inc_tax,ext_item,net_income
2015,206190165,GOLDSTAR HEALTHCARE CENTER OF CHATSWORTH,1/1/2015 0:00,11/30/2015 0:00,Los Angeles,Investor Owned,41653,8376298,8635537,0,0,458932,-718171
2014,206190165,GOLDSTAR HEALTHCARE CENTER OF CHATSWORTH,1/1/2014 0:00,12/31/2014 0:00,Los Angeles,Investor Owned,45912,9110200,8928301,0,0,0,181899
2013,206190165,GOLDSTAR HEALTHCARE CENTER OF CHATSWORTH,1/1/2013 0:00,12/31/2013 0:00,Los Angeles,Investor Owned,45771,8567020,8503754,0,0,-169,63435
2012,206190165,GOLDSTAR HEALTHCARE CENTER OF CHATSWORTH,1/1/2012 0:00,12/31/2012 0:00,Los Angeles,Investor Owned,43536,7754882,7911177,0,0,0,-156295
2011,206190165,GOLDSTAR HEALTHCARE CENTER OF CHATSWORTH,1/1/2011 0:00,12/31/2011 0:00,Los Angeles,Investor Owned,44260,8374419,8136531,0,0,0,237888
2015,206190166,CHATSWORTH PARK CARE CENTER,1/1/2015 0:00,12/31/2015 0:00,Los Angeles,Investor Owned,43515,16128006,15494413,7745,28135,0,613203
2014,206190166,CHATSWORTH PARK CARE CENTER,1/1/2014 0:00,12/31/2014 0:00,Los Angeles,Investor Owned,38901,14878504,13627165,9,-5600,0,1256948
2013,206190166,CHATSWORTH PARK CARE CENTER,1/1/2013 0:00,12/31/2013 0:00,Los Angeles,Investor Owned,38509,14052518,13455785,647,21460,3,575917
2012,206190166,CHATSWORTH PARK CARE CENTER,1/1/2012 0:00,12/31/2012 0:00,Los Angeles,Investor Owned,41193,13889451,12661904,537,33483,-22541,1217142
2011,206190166,CHATSWORTH PARK CARE CENTER,1/1/2011 0:00,12/31/2011 0:00,Los Angeles,Investor Owned,44028,14379899,12400728,784,58494,0,1921461
2015,206190167,ALLIANCE CHERRYLEE CENTER,1/1/2015 0:00,10/31/2015 0:00,Los Angeles,Investor Owned,13860,2379086,2294982,-83577,0,0,527
2014,206190167,ALLIANCE CHERRYLEE CENTER,1/1/2014 0:00,12/31/2014 0:00,Los Angeles,Investor Owned,16510,2418898,2561998,0,0,0,-143100
2013,206190167,ALLIANCE CHERRYLEE CENTER,1/1/2013 0:00,12/31/2013 0:00,Los Angeles,Investor Owned,16419,2401067,2542765,0,0,0,-141698
2012,206190167,ALLIANCE CHERRYLEE CENTER,1/1/2012 0:00,12/31/2012 0:00,Los Angeles,Investor Owned,16607,2346885,2429434,92,8087,0,-90544
2011,206190167,ALLIANCE CHERRYLEE CENTER,1/1/2011 0:00,12/31/2011 0:00,Los Angeles,Investor Owned,16337,2334753,2307560,189,7185,0,20197
2015,206190173,INLAND VALLEY CARE & REHAB CENTER,1/1/2015 0:00,12/31/2015 0:00,Los Angeles,Investor Owned,81592,25492648,25635619,50922,13769,0,-105818
2014,206190173,INLAND VALLEY CARE & REHAB CENTER,1/1/2014 0:00,12/31/2014 0:00,Los Angeles,Investor Owned,81838,24225617,23772188,4099,0,0,457528
2013,206190173,INLAND VALLEY CARE & REHAB CENTER,1/1/2013 0:00,12/31/2013 0:00,Los Angeles,Investor Owned,80062,22742145,22775475,-55377,0,0,-88707
2012,206190173,INLAND VALLEY CARE & REHAB CENTER,1/1/2012 0:00,12/31/2012 0:00,Los Angeles,Investor Owned,80838,22540537,22718738,-12152,0,0,-190353
2011,206190173,INLAND VALLEY CARE & REHAB CENTER,1/1/2011 0:00,12/31/2011 0:00,Los Angeles,Investor Owned,80023,21587378,21100622,-11957,0,0,474799
2015,206190181,CLEAR VIEW CONVALESCENT CENTER,1/1/2015 0:00,12/31/2015 0:00,Los Angeles,Investor Owned,62007,12980293,12596824,43015,0,0,426484
2014,206190181,CLEAR VIEW CONVALESCENT CENTER,1/1/2014 0:00,12/31/2014 0:00,Los Angeles,Investor Owned,61623,12063047,11595512,9764,0,0,477299
2013,206190181,CLEAR VIEW CONVALESCENT CENTER,1/1/2013 0:00,12/31/2013 0:00,Los Angeles,Investor Owned,61793,10857033,10887691,1824,0,0,-28834
2012,206190181,CLEAR VIEW CONVALESCENT CENTER,1/1/2012 0:00,12/31/2012 0:00,Los Angeles,Investor Owned,61271,10942885,10712863,41242,0,0,271264
2011,206190181,CLEAR VIEW CONVALESCENT CENTER,1/1/2011 0:00,12/31/2011 0:00,Los Angeles,Investor Owned,62287,10625522,10445432,1182154,0,0,1362244
2015,206190187,COLLEGE VISTA CONVALESCENT HOSPITAL,1/1/2015 0:00,7/14/2015 0:00,Los Angeles,Investor Owned,9115,2557065,2674227,-36260,0,0,-153422
2014,206190187,COLLEGE VISTA CONVALESCENT HOSPITAL,1/1/2014 0:00,12/31/2014 0:00,Los Angeles,Investor Owned,16745,3979404,4098420,0,-4169,0,-114847
2013,206190187,COLLEGE VISTA CONVALESCENT HOSPITAL,1/1/2013 0:00,12/31/2013 0:00,Los Angeles,Investor Owned,15656,4511880,4104930,-20595,0,0,386355
2012,206190187,COLLEGE VISTA CONVALESCENT HOSPITAL,1/1/2012 0:00,12/31/2012 0:00,Los Angeles,Investor Owned,17579,4839827,3986055,-243510,0,0,610262
2011,206190187,COLLEGE VISTA CONVALESCENT HOSPITAL,1/1/2011 0:00,12/31/2011 0:00,Los Angeles,Investor Owned,17144,5718359,4224936,-177451,0,0,1315972
2015,206190188,COLONIAL GARDENS NURSING HOME,6/1/2014 0:00,5/31/2015 0:00,Los Angeles,Investor Owned,34797,6762942,6709044,881,1167,0,53612
2014,206190188,COLONIAL GARDENS NURSING HOME,6/1/2013 0:00,5/31/2014 0:00,Los Angeles,Investor Owned,35304,6673460,6337039,0,800,0,335621
2013,206190188,COLONIAL GARDENS NURSING HOME,6/1/2012 0:00,5/31/2013 0:00,Los Angeles,Investor Owned,35294,6517923,6380084,0,1299,0,136540
2012,206190188,COLONIAL GARDENS NURSING HOME,6/1/2011 0:00,5/31/2012 0:00,Los Angeles,Investor Owned,35594,5632722,5502187,133,800,0,129868
2011,206190188,COLONIAL GARDENS NURSING HOME,6/1/2010 0:00,5/31/2011 0:00,Los Angeles,Investor Owned,35472,4974898,5006133,0,800,0,-32035
2015,206190189,BEACON HEALTHCARE CENTER,1/1/2015 0:00,12/31/2015 0:00,Los Angeles,Investor Owned,11959,2462615,3935139,33752,0,0,-1438772
2014,206190189,BEACON HEALTHCARE CENTER,5/20/2014 0:00,12/31/2014 0:00,Los Angeles,Investor Owned,8517,1342595,1646527,0,0,0,-303932
2013,206190189,BEACON HEALTHCARE CENTER,7/1/2012 0:00,6/30/2013 0:00,Los Angeles,Investor Owned,18628,3418379,3241831,11,800,-35992,211751
2012,206190189,BEACON HEALTHCARE CENTER,7/1/2011 0:00,6/30/2012 0:00,Los Angeles,Investor Owned,18700,3457598,3383753,867,800,0,73912
2011,206190189,BEACON HEALTHCARE CENTER,7/1/2010 0:00,6/30/2011 0:00,Los Angeles,Investor Owned,18984,3340702,3280030,10,800,0,59882
2015,206190190,COLONIAL CARE CENTER,1/1/2015 0:00,12/31/2015 0:00,Los Angeles,Investor Owned,70534,18353180,18204837,0,800,0,147543
2014,206190190,COLONIAL CARE CENTER,1/1/2014 0:00,12/31/2014 0:00,Los Angeles,Investor Owned,70813,18042264,16411290,0,0,0,1630974
2013,206190190,COLONIAL CARE CENTER,1/1/2013 0:00,12/31/2013 0:00,Los Angeles,Investor Owned,70497,17897078,16549967,0,800,0,1346311
2012,206190190,COLONIAL CARE CENTER,1/1/2012 0:00,12/31/2012 0:00,Los Angeles,Investor Owned,70224,18579198,17371961,0,800,0,1206437
2011,206190190,COLONIAL CARE CENTER,1/1/2011 0:00,12/31/2011 0:00,Los Angeles,Investor Owned,69960,18437827,19073227,24933,0,0,-610467
2015,206190192,NORTH VALLEY NURSING CENTER,1/1/2015 0:00,12/31/2015 0:00,Los Angeles,Investor Owned,27591,9859094,9736958,95,800,0,121431
2014,206190192,NORTH VALLEY NURSING CENTER,1/1/2014 0:00,12/31/2014 0:00,Los Angeles,Investor Owned,28432,9331770,9075390,461,800,0,256041
2013,206190192,NORTH VALLEY NURSING CENTER,1/1/2013 0:00,12/31/2013 0:00,Los Angeles,Investor Owned,27820,8459586,8950027,54,800,0,-491187
2012,206190192,NORTH VALLEY NURSING CENTER,1/1/2012 0:00,12/31/2012 0:00,Los Angeles,Investor Owned,28890,8259782,8697372,220,800,0,-438170
2011,206190192,NORTH VALLEY NURSING CENTER,1/1/2011 0:00,12/31/2011 0:00,Los Angeles,Investor Owned,28934,8101162,8438666,2,800,0,-338302
2015,206190193,MESA GLEN CARE CENTER,1/1/2015 0:00,12/31/2015 0:00,Los Angeles,Investor Owned,31683,6754231,7289305,16822,800,0,-519052
2014,206190193,MESA GLEN CARE CENTER,1/1/2014 0:00,12/31/2014 0:00,Los Angeles,Investor Owned,33211,6079729,6453195,2330,0,0,-371136
2013,206190193,MESA GLEN CARE CENTER,1/1/2013 0:00,12/31/2013 0:00,Los Angeles,Investor Owned,33321,6369855,6343346,-15129,12590,0,-1210
2012,206190193,MESA GLEN CARE CENTER,1/1/2012 0:00,12/31/2012 0:00,Los Angeles,Investor Owned,32536,6810782,5815313,1027,12590,0,983906
2011,206190193,MESA GLEN CARE CENTER,1/1/2011 0:00,12/31/2011 0:00,Los Angeles,Investor Owned,31695,6929469,5518377,1889,12590,0,1400391
2015,206190194,LIVE OAK REHABILITATION CENTER,1/1/2015 0:00,12/31/2015 0:00,Los Angeles,Investor Owned,35121,9201116,8665353,0,0,0,535763
2014,206190194,LIVE OAK REHABILITATION CENTER,1/1/2014 0:00,12/31/2014 0:00,Los Angeles,Investor Owned,35141,8684776,8152804,0,0,0,531972
2013,206190194,LIVE OAK REHABILITATION CENTER,1/1/2013 0:00,12/31/2013 0:00,Los Angeles,Investor Owned,34833,8783635,8552297,0,0,0,231338
2012,206190194,LIVE OAK REHABILITATION CENTER,1/1/2012 0:00,12/31/2012 0:00,Los Angeles,Investor Owned,35400,9559871,7964146,0,0,0,1595725
2011,206190194,LIVE OAK REHABILITATION CENTER,1/1/2011 0:00,12/31/2011 0:00,Los Angeles,Investor Owned,35300,9321709,9555960,20679,0,0,-213572
2015,206190201,LYNWOOD HEALTHCARE CENTER,1/1/2015 0:00,12/31/2015 0:00,Los Angeles,Investor Owned,34258,7454808,7552344,1088,12590,0,-109038
2014,206190201,LYNWOOD HEALTHCARE CENTER,1/1/2014 0:00,12/31/2014 0:00,Los Angeles,Investor Owned,34670,7436734,7671266,1004,12590,0,-246118
2013,206190201,LYNWOOD HEALTHCARE CENTER,1/1/2013 0:00,12/31/2013 0:00,Los Angeles,Investor Owned,35123,7435857,7812840,-3143,12593,0,-392719
2012,206190201,LYNWOOD HEALTHCARE CENTER,1/1/2012 0:00,12/31/2012 0:00,Los Angeles,Investor Owned,34963,7641763,7642815,58,0,0,-994
2011,206190201,LYNWOOD HEALTHCARE CENTER,1/1/2011 0:00,12/31/2011 0:00,Los Angeles,Investor Owned,35105,8090396,7604960,21,0,0,485457
2015,206190204,VILLA MARIA ELENA HEALTHCARE CENTER,1/1/2015 0:00,12/31/2015 0:00,Los Angeles,Investor Owned,33927,7062384,7725825,0,11790,0,-675231
2014,206190204,VILLA MARIA ELENA HEALTHCARE CENTER,1/1/2014 0:00,12/31/2014 0:00,Los Angeles,Investor Owned,33752,6392502,7076857,0,11790,0,-696145
2013,206190204,VILLA MARIA ELENA HEALTHCARE CENTER,1/1/2013 0:00,12/31/2013 0:00,Los Angeles,Investor Owned,32643,5894645,6794878,0,0,0,-900233
2012,206190204,VILLA MARIA ELENA HEALTHCARE CENTER,1/1/2012 0:00,12/31/2012 0:00,Los Angeles,Investor Owned,33899,6465891,6372906,0,0,0,92985
2011,206190204,VILLA MARIA ELENA HEALTHCARE CENTER,1/1/2011 0:00,12/31/2011 0:00,Los Angeles,Investor Owned,32674,5505373,5722754,0,0,0,-217381
2015,206190207,GEM TRANSITIONAL CARE CENTER,1/1/2015 0:00,12/31/2015 0:00,Los Angeles,Investor Owned,23490,8862075,8555212,0,12590,0,294273
2014,206190207,GEM TRANSITIONAL CARE CENTER,1/1/2014 0:00,12/31/2014 0:00,Los Angeles,Investor Owned,21612,8653488,8394395,52546,12590,0,299049
2013,206190207,GEM TRANSITIONAL CARE CENTER,1/1/2013 0:00,12/31/2013 0:00,Los Angeles,Investor Owned,21813,8557379,8175333,0,12590,0,369456
2012,206190207,GEM TRANSITIONAL CARE CENTER,1/1/2012 0:00,12/31/2012 0:00,Los Angeles,Investor Owned,23344,8598305,8407593,0,12590,0,178122
2011,206190207,GEM TRANSITIONAL CARE CENTER,1/1/2011 0:00,12/31/2011 0:00,Los Angeles,Investor Owned,23730,7736266,7645897,0,12590,0,77779
2015,206190208,UNIVERSITY PARK HEALTHCARE CENTER,1/1/2015 0:00,12/31/2015 0:00,Los Angeles,Investor Owned,29732,7241594,6724057,-30471,800,0,486266
2014,206190208,UNIVERSITY PARK HEALTHCARE CENTER,1/1/2014 0:00,12/31/2014 0:00,Los Angeles,Investor Owned,29715,6716888,6367260,35349,0,0,384977
2013,206190208,UNIVERSITY PARK HEALTHCARE CENTER,1/1/2013 0:00,12/31/2013 0:00,Los Angeles,Investor Owned,28550,6084011,6576039,897,10250,0,-501381
2012,206190208,UNIVERSITY PARK HEALTHCARE CENTER,1/1/2012 0:00,12/31/2012 0:00,Los Angeles,Investor Owned,30093,6769956,6735528,15,0,0,34443
2011,206190208,UNIVERSITY PARK HEALTHCARE CENTER,1/1/2011 0:00,12/31/2011 0:00,Los Angeles,Investor Owned,31053,6993685,6739431,161,0,0,254415
2015,206190209,HARBOR CARE CENTER,1/1/2015 0:00,12/31/2015 0:00,Los Angeles,Investor Owned,39932,7778386,8546499,12973,0,0,-755140
2014,206190209,HARBOR CARE CENTER,1/1/2014 0:00,12/31/2014 0:00,Los Angeles,Investor Owned,40311,8011698,7932515,0,800,0,78383
2013,206190209,HARBOR CARE CENTER,1/1/2013 0:00,12/31/2013 0:00,Los Angeles,Investor Owned,40931,7956525,7443536,71,14400,0,498660
2012,206190209,HARBOR CARE CENTER,1/1/2012 0:00,12/31/2012 0:00,Los Angeles,Investor Owned,41664,8426685,7578045,1651,10347,0,839944
2011,206190209,HARBOR CARE CENTER,1/1/2011 0:00,12/31/2011 0:00,Los Angeles,Investor Owned,42254,7669631,7178034,0,1988,0,489609
2015,206190210,WOODLAND CARE CENTER,1/1/2015 0:00,12/31/2015 0:00,Los Angeles,Investor Owned,50935,14917676,15158571,1843,0,0,-239052
2014,206190210,WOODLAND CARE CENTER,1/1/2014 0:00,12/31/2014 0:00,Los Angeles,Investor Owned,51369,14972376,15012256,0,0,0,-39880
2013,206190210,WOODLAND CARE CENTER,1/1/2013 0:00,12/31/2013 0:00,Los Angeles,Investor Owned,50600,14799888,14953738,0,0,0,-153850
2012,206190210,WOODLAND CARE CENTER,1/1/2012 0:00,12/31/2012 0:00,Los Angeles,Investor Owned,49804,14702204,14700386,0,0,0,1818
2011,206190210,WOODLAND CARE CENTER,1/1/2011 0:00,12/31/2011 0:00,Los Angeles,Investor Owned,50085,15628964,14227423,0,0,-2,1401543
2015,206190212,CATERED MANOR NURSING CENTER,1/1/2015 0:00,12/31/2015 0:00,Los Angeles,Investor Owned,25372,7609970,7483055,1641,0,0,128556
2014,206190212,CATERED MANOR NURSING CENTER,1/1/2014 0:00,12/31/2014 0:00,Los Angeles,Investor Owned,25160,6988890,7041987,87,0,0,-53010
2013,206190212,CATERED MANOR NURSING CENTER,1/1/2013 0:00,12/31/2013 0:00,Los Angeles,Investor Owned,25893,7268768,7371442,38,0,0,-102636
2012,206190212,CATERED MANOR NURSING CENTER,1/1/2012 0:00,12/31/2012 0:00,Los Angeles,Investor Owned,25861,7084439,6961378,20,0,0,123081
2011,206190212,CATERED MANOR NURSING CENTER,1/1/2011 0:00,12/31/2011 0:00,Los Angeles,Investor Owned,24192,6917486,6579558,-129,0,0,337799
2015,206190213,THE GROVE POST-ACUTE CARE CENTER,1/1/2015 0:00,12/31/2015 0:00,Los Angeles,Investor Owned,26058,5696531,5781983,0,0,0,-85452
2014,206190213,THE GROVE POST-ACUTE CARE CENTER,1/1/2014 0:00,7/15/2014 0:00,Los Angeles,Investor Owned,13796,2418087,2889702,1400000,0,0,928385
2013,206190213,THE GROVE POST-ACUTE CARE CENTER,1/1/2013 0:00,12/31/2013 0:00,Los Angeles,Investor Owned,25708,4809048,4911977,0,0,0,-102929
2012,206190213,THE GROVE POST-ACUTE CARE CENTER,1/1/2012 0:00,12/31/2012 0:00,Los Angeles,Investor Owned,25068,4780707,4795187,0,0,0,-14480
2011,206190213,THE GROVE POST-ACUTE CARE CENTER,1/1/2011 0:00,12/31/2011 0:00,Los Angeles,Investor Owned,25693,4749423,4934184,0,0,0,-184761
2015,206190214,COUNTRY MANOR HEALTHCARE,1/1/2015 0:00,12/31/2015 0:00,Los Angeles,Investor Owned,30699,7719435,7563799,17014,0,0,172650
2014,206190214,COUNTRY MANOR HEALTHCARE,1/1/2014 0:00,12/31/2014 0:00,Los Angeles,Investor Owned,30343,7363398,7022160,11791,12590,0,340439
2013,206190214,COUNTRY MANOR HEALTHCARE,1/1/2013 0:00,12/31/2013 0:00,Los Angeles,Investor Owned,29824,6697440,6572514,13485,12590,0,125821
2012,206190214,COUNTRY MANOR HEALTHCARE,1/1/2012 0:00,12/31/2012 0:00,Los Angeles,Investor Owned,29494,6294363,6287534,13739,12590,0,7978
2011,206190214,COUNTRY MANOR HEALTHCARE,1/1/2011 0:00,12/31/2011 0:00,Los Angeles,Investor Owned,32393,6866207,6417440,312,12590,0,436489
2015,206190220,CRENSHAW NURSING HOME,1/1/2015 0:00,12/31/2015 0:00,Los Angeles,Investor Owned,17110,4609763,4293149,0,0,0,316614
2014,206190220,CRENSHAW NURSING HOME,1/1/2014 0:00,12/31/2014 0:00,Los Angeles,Investor Owned,18650,4407507,3917370,0,0,0,490137
2013,206190220,CRENSHAW NURSING HOME,1/1/2013 0:00,12/31/2013 0:00,Los Angeles,Investor Owned,18530,4194158,3707472,0,0,0,486686
2012,206190220,CRENSHAW NURSING HOME,1/1/2012 0:00,12/31/2012 0:00,Los Angeles,Investor Owned,18830,3848627,3577459,0,0,0,271168
2011,206190220,CRENSHAW NURSING HOME,7/1/2010 0:00,6/30/2011 0:00,Los Angeles,Investor Owned,19006,3747367,3744370,0,0,0,2997
2015,206190221,VIEW PARK CONVALESCENT CENTER,7/1/2014 0:00,6/30/2015 0:00,Los Angeles,Investor Owned,34420,9212147,7090597,0,0,0,2121550
2014,206190221,VIEW PARK CONVALESCENT CENTER,7/1/2013 0:00,6/30/2014 0:00,Los Angeles,Investor Owned,34423,8314885,6746652,0,0,0,1568233
2013,206190221,VIEW PARK CONVALESCENT CENTER,7/1/2012 0:00,6/30/2013 0:00,Los Angeles,Investor Owned,34389,8272599,6864802,0,0,0,1407797
2012,206190221,VIEW PARK CONVALESCENT CENTER,7/1/2011 0:00,6/30/2012 0:00,Los Angeles,Investor Owned,33205,7356343,6698369,18456,0,0,676430
2011,206190221,VIEW PARK CONVALESCENT CENTER,7/1/2010 0:00,6/30/2011 0:00,Los Angeles,Investor Owned,33028,7146496,6382212,19746,0,0,784030
2015,206190223,WEST PICO TERRACE HEALTHCARE AND WELLNESS CENTER,10/31/2014 0:00,4/30/2015 0:00,Los Angeles,Investor Owned,8328,3068417,2678248,-4851,0,0,385318
2014,206190223,WEST PICO TERRACE HEALTHCARE AND WELLNESS CENTER,1/1/2014 0:00,10/30/2014 0:00,Los Angeles,Investor Owned,13518,4537470,4450519,1102,0,0,88053
2013,206190223,WEST PICO TERRACE HEALTHCARE AND WELLNESS CENTER,1/1/2013 0:00,12/31/2013 0:00,Los Angeles,Investor Owned,15806,6457166,5591447,-1188806,0,0,-323087
2012,206190223,WEST PICO TERRACE HEALTHCARE AND WELLNESS CENTER,1/1/2012 0:00,12/31/2012 0:00,Los Angeles,Investor Owned,15703,6203323,5535321,-589066,0,-3,78939
2011,206190223,WEST PICO TERRACE HEALTHCARE AND WELLNESS CENTER,1/1/2011 0:00,12/31/2011 0:00,Los Angeles,Investor Owned,16332,5674316,5252391,-739714,0,0,-317789
2015,206190224,PENN MAR THERAPEUTIC CENTER,7/1/2014 0:00,6/30/2015 0:00,Los Angeles,Investor Owned,16200,4757778,4658676,0,0,0,99102
2014,206190224,PENN MAR THERAPEUTIC CENTER,7/1/2013 0:00,6/30/2014 0:00,Los Angeles,Investor Owned,16288,4695016,4419956,0,0,0,275060
2013,206190224,PENN MAR THERAPEUTIC CENTER,7/1/2012 0:00,6/30/2013 0:00,Los Angeles,Investor Owned,16232,4565737,4323703,0,0,0,242034
2012,206190224,PENN MAR THERAPEUTIC CENTER,7/1/2011 0:00,6/30/2012 0:00,Los Angeles,Investor Owned,16298,4475453,4307124,0,0,0,168329
2011,206190224,PENN MAR THERAPEUTIC CENTER,7/1/2010 0:00,6/30/2011 0:00,Los Angeles,Investor Owned,16262,4492752,4300081,-44847,0,0,147824
2015,206190227,VISTA DEL SOL CARE CENTER,4/7/2015 0:00,12/31/2015 0:00,Los Angeles,Investor Owned,11955,4281618,3439361,-328084,0,0,514173
2014,206190227,VISTA DEL SOL CARE CENTER,1/1/2014 0:00,12/31/2014 0:00,Los Angeles,Investor Owned,14607,3792878,3317699,-437482,800,0,36897
2013,206190227,VISTA DEL SOL CARE CENTER,1/1/2013 0:00,12/31/2013 0:00,Los Angeles,Investor Owned,12622,3347423,3231150,-365469,800,0,-249996
2012,206190227,VISTA DEL SOL CARE CENTER,1/1/2012 0:00,12/31/2012 0:00,Los Angeles,Investor Owned,11121,3074295,3091875,-318979,800,0,-337359
2011,206190227,VISTA DEL SOL CARE CENTER,1/1/2011 0:00,12/31/2011 0:00,Los Angeles,Investor Owned,12257,3151425,3085044,-345002,800,0,-279421
2015,206190229,CULVER WEST CONVALESCENT HOSPITAL,1/1/2015 0:00,12/31/2015 0:00,Los Angeles,Investor Owned,30956,9686995,8865063,5717,0,1,827648
2014,206190229,CULVER WEST CONVALESCENT HOSPITAL,1/1/2014 0:00,12/31/2014 0:00,Los Angeles,Investor Owned,29818,7412211,7340241,-630513,3994,0,-562537
2013,206190229,CULVER WEST CONVALESCENT HOSPITAL,1/1/2013 0:00,12/31/2013 0:00,Los Angeles,Investor Owned,27346,6449419,6363663,0,234,0,85522
2012,206190229,CULVER WEST CONVALESCENT HOSPITAL,1/1/2012 0:00,12/31/2012 0:00,Los Angeles,Investor Owned,28340,6597485,6157974,0,8069,0,431442
2011,206190229,CULVER WEST CONVALESCENT HOSPITAL,1/1/2011 0:00,12/31/2011 0:00,Los Angeles,Investor Owned,27177,6254391,6278521,0,0,0,-24130
2015,206190231,DEL AMO GARDENS CONVALESCENT HOSPITAL,1/1/2015 0:00,12/31/2015 0:00,Los Angeles,Investor Owned,29321,8787525,7557984,3605,12590,0,1220556
2014,206190231,DEL AMO GARDENS CONVALESCENT HOSPITAL,1/1/2014 0:00,12/31/2014 0:00,Los Angeles,Investor Owned,30509,8532503,7435758,993,12590,0,1085148
2013,206190231,DEL AMO GARDENS CONVALESCENT HOSPITAL,1/1/2013 0:00,12/31/2013 0:00,Los Angeles,Investor Owned,30592,8280437,7315049,267,12590,-1,953066
2012,206190231,DEL AMO GARDENS CONVALESCENT HOSPITAL,1/1/2012 0:00,12/31/2012 0:00,Los Angeles,Investor Owned,29603,8132118,7049227,578,12590,0,1070879
2011,206190231,DEL AMO GARDENS CONVALESCENT HOSPITAL,1/1/2011 0:00,12/31/2011 0:00,Los Angeles,Investor Owned,29795,7966432,6487184,686,12590,-1,1467345
2015,206190233,DEL MAR CONVALESCENT HOSPITAL,1/1/2015 0:00,12/31/2015 0:00,Los Angeles,Investor Owned,20591,5929328,5777431,407,0,0,152304
2014,206190233,DEL MAR CONVALESCENT HOSPITAL,1/1/2014 0:00,12/31/2014 0:00,Los Angeles,Investor Owned,20679,4822930,4686755,46,466,0,135755
2013,206190233,DEL MAR CONVALESCENT HOSPITAL,1/1/2013 0:00,12/31/2013 0:00,Los Angeles,Investor Owned,20800,4918510,4703468,1,0,0,215043
2012,206190233,DEL MAR CONVALESCENT HOSPITAL,1/1/2012 0:00,12/31/2012 0:00,Los Angeles,Investor Owned,20351,4616749,4414055,0,0,0,202694
2011,206190233,DEL MAR CONVALESCENT HOSPITAL,1/1/2011 0:00,12/31/2011 0:00,Los Angeles,Investor Owned,20491,4123358,4259447,24,0,0,-136065
2015,206190234,DEL RIO CONVALESCENT CENTER,1/1/2015 0:00,12/31/2015 0:00,Los Angeles,Investor Owned,34134,5400274,5398639,-293575,433,0,-292373
2014,206190234,DEL RIO CONVALESCENT CENTER,1/1/2014 0:00,12/31/2014 0:00,Los Angeles,Investor Owned,35080,5389456,5134485,-240197,-142,0,14916
2013,206190234,DEL RIO CONVALESCENT CENTER,1/1/2013 0:00,12/31/2013 0:00,Los Angeles,Investor Owned,34483,5334773,5032375,-243443,37493,0,21462
2012,206190234,DEL RIO CONVALESCENT CENTER,1/1/2012 0:00,12/31/2012 0:00,Los Angeles,Investor Owned,35582,5523465,5187863,0,0,0,335602
2011,206190234,DEL RIO CONVALESCENT CENTER,1/1/2011 0:00,12/31/2011 0:00,Los Angeles,Investor Owned,35673,5443795,4842436,0,0,0,601359
2015,206190235,DEL RIO GARDENS CARE CENTER,1/1/2015 0:00,12/31/2015 0:00,Los Angeles,Investor Owned,29479,4822988,4525330,-225151,367,0,72140
2014,206190235,DEL RIO GARDENS CARE CENTER,1/1/2014 0:00,12/31/2014 0:00,Los Angeles,Investor Owned,29242,4614093,4396484,-203803,3817,0,9989
2013,206190235,DEL RIO GARDENS CARE CENTER,1/1/2013 0:00,12/31/2013 0:00,Los Angeles,Investor Owned,29665,4719853,4293532,-222376,31812,0,172133
2012,206190235,DEL RIO GARDENS CARE CENTER,1/1/2012 0:00,12/31/2012 0:00,Los Angeles,Investor Owned,29841,4618993,4349844,0,0,0,269149
2011,206190235,DEL RIO GARDENS CARE CENTER,1/1/2011 0:00,12/31/2011 0:00,Los Angeles,Investor Owned,30131,4787455,4186673,0,0,0,600782
2015,206190236,NEW VISTA NURSING AND REHABILITATION CENTER,1/1/2015 0:00,12/31/2015 0:00,Los Angeles,Investor Owned,42649,13364122,12625509,831,16529,0,722915
2014,206190236,NEW VISTA NURSING AND REHABILITATION CENTER,1/1/2014 0:00,12/31/2014 0:00,Los Angeles,Investor Owned,42745,12325229,11653766,867,14990,0,657340
2013,206190236,NEW VISTA NURSING AND REHABILITATION CENTER,1/1/2013 0:00,12/31/2013 0:00,Los Angeles,Investor Owned,41074,11250886,10981044,1335,1646,0,269531
2012,206190236,NEW VISTA NURSING AND REHABILITATION CENTER,1/1/2012 0:00,12/31/2012 0:00,Los Angeles,Investor Owned,41946,11296171,11238843,2859733,800,0,2916261
2011,206190236,NEW VISTA NURSING AND REHABILITATION CENTER,1/1/2011 0:00,12/31/2011 0:00,Los Angeles,Investor Owned,40927,10552484,10398308,12934,800,0,166310
2015,206190238,WHITTIER NURSING AND WELLNESS CENTER,4/1/2015 0:00,12/31/2015 0:00,Los Angeles,Investor Owned,8850,2509303,2134061,-101960,0,0,273282
2014,206190238,WHITTIER NURSING AND WELLNESS CENTER,1/1/2014 0:00,12/31/2014 0:00,Los Angeles,Investor Owned,9921,1596365,1440901,-107622,0,0,47842
2013,206190238,WHITTIER NURSING AND WELLNESS CENTER,1/1/2013 0:00,12/31/2013 0:00,Los Angeles,Investor Owned,10372,1369697,1338614,-103560,0,0,-72477
